window,feature_set,feature_family,model_name,model_group,contains_is_churn_prevented,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,balanced_accuracy_at_0_5_repurchase,precision_at_0_5_churn_risk,recall_at_0_5_churn_risk,f1_at_0_5_churn_risk,n_train,n_test,post_transform_feature_count
w1_4,membership_only_without_churn_prevented,membership_only,XGBClassifier,optional_booster,N,0.5708770895142352,0.7566204274285414,0.33589948419283233,0.5,0.0,0.0,0.0,19156.0,4777.0,85.0
w1_3,membership_only_without_churn_prevented,membership_only,XGBClassifier,optional_booster,N,0.5708770895142352,0.7566204274285414,0.33589948419283233,0.5,0.0,0.0,0.0,19156.0,4777.0,85.0
w1_4,membership_only_without_churn_prevented,membership_only,ExtraTreesClassifier,required_sklearn,N,0.5672366480741713,0.7562702468051085,0.33275373394301455,0.5467864021658265,0.3287671232876712,0.5251641137855579,0.4043807919123842,19156.0,4777.0,85.0
w1_3,membership_only_without_churn_prevented,membership_only,ExtraTreesClassifier,required_sklearn,N,0.5672366480741713,0.7562702468051085,0.33275373394301455,0.5467864021658265,0.3287671232876712,0.5251641137855579,0.4043807919123842,19156.0,4777.0,85.0
w1_4,membership_only_with_churn_prevented,membership_only,LGBMClassifier,optional_booster,Y,0.5672264759533204,0.7532948509771942,0.3310834902479998,0.5,0.0,0.0,0.0,19156.0,4777.0,86.0
w1_3,membership_only_with_churn_prevented,membership_only,LGBMClassifier,optional_booster,Y,0.5672264759533204,0.7532948509771942,0.3310834902479998,0.5,0.0,0.0,0.0,19156.0,4777.0,86.0
w1_3,membership_only_without_churn_prevented,membership_only,LGBMClassifier,optional_booster,N,0.5672264759533204,0.7532948509771942,0.3310834902479998,0.5,0.0,0.0,0.0,19156.0,4777.0,85.0
w1_4,membership_only_without_churn_prevented,membership_only,LGBMClassifier,optional_booster,N,0.5672264759533204,0.7532948509771942,0.3310834902479998,0.5,0.0,0.0,0.0,19156.0,4777.0,85.0
w1_3,membership_only_with_churn_prevented,membership_only,ExtraTreesClassifier,required_sklearn,Y,0.5661404146713249,0.7546663083326306,0.3339376611865827,0.547827813191035,0.33024976873265494,0.5207877461706784,0.404189074440985,19156.0,4777.0,86.0
w1_4,membership_only_with_churn_prevented,membership_only,ExtraTreesClassifier,required_sklearn,Y,0.5661404146713249,0.7546663083326306,0.3339376611865827,0.547827813191035,0.33024976873265494,0.5207877461706784,0.404189074440985,19156.0,4777.0,86.0
w1_4,content_w1_4_only,content_only,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,54.0
w1_3,content_w1_3_only,content_only,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,54.0
w1_3,usage_w1_3_only,usage_only,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,27.0
w1_4,usage_w1_4_only,usage_only,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,32.0
w1_4,membership_only_with_churn_prevented,membership_only,DummyClassifier,required_sklearn,Y,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,86.0
w1_3,membership_only_with_churn_prevented,membership_only,DummyClassifier,required_sklearn,Y,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,86.0
w1_3,membership_only_without_churn_prevented,membership_only,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,85.0
w1_4,membership_only_without_churn_prevented,membership_only,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,85.0
w1_4,membership_plus_usage_content_w1_4_without_churn_prevented,membership_plus_usage_content,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,171.0
w1_4,membership_plus_usage_content_w1_4_with_churn_prevented,membership_plus_usage_content,DummyClassifier,required_sklearn,Y,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,172.0
w1_3,membership_plus_usage_content_w1_3_with_churn_prevented,membership_plus_usage_content,DummyClassifier,required_sklearn,Y,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,167.0
w1_3,membership_plus_usage_content_w1_3_without_churn_prevented,membership_plus_usage_content,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,166.0
w1_3,membership_plus_usage_w1_3_without_churn_prevented,membership_plus_usage,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,112.0
w1_3,membership_plus_usage_w1_3_with_churn_prevented,membership_plus_usage,DummyClassifier,required_sklearn,Y,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,113.0
w1_4,membership_plus_usage_w1_4_with_churn_prevented,membership_plus_usage,DummyClassifier,required_sklearn,Y,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,118.0
w1_4,membership_plus_usage_w1_4_without_churn_prevented,membership_plus_usage,DummyClassifier,required_sklearn,N,0.5,0.7129997906635964,0.2870002093364036,0.5,0.0,0.0,0.0,19156.0,4777.0,117.0
